Date,1N Endwall,1S Endwall,Blast ID
29/08/2021 12:52,15.87,NA,1S38H16_P6
5/09/2021 14:00,NA,NA,11S25D14_PS2
5/09/2021 14:00,NA,NA,11S26PSS_P3
10/09/2021 15:07,0.32,NA,7N22D11_C1
16/09/2021 13:30,0.1,0.19,4S33D45_PA2
17/09/2021 14:58,0.91,1.21,2N40D46_O2
17/09/2021 14:58,0.91,1.21,2N42Q01_P3
17/09/2021 14:58,0.91,1.21,2N42Q01_P4
19/09/2021 15:40,0.6,NA,6N18D01_PA1
21/09/2021 12:51,0.25,NA,7N24P08_P1
30/09/2021 12:47,6.04,NA,2S37P08_P1
30/09/2021 12:47,6.04,NA,1S39P08_P2
30/09/2021 12:47,6.04,NA,2S35D47_PS1
8/10/2021 15:20,0.34,NA,5N38H16_P1
8/10/2021 15:20,0.34,NA,5N38Q01_T1
8/10/2021 15:20,0.34,NA,5N39Q01_P1
11/10/2021 12:04,0.58,NA,11S25D14_C2
14/10/2021 13:46,0.53,0.93,4S34H15_P1
18/10/2021 14:10,0.07,0.11,6N19D46_O1
20/10/2021 13:34,0.51,0.54,6N18D01_PA2
24/10/2021 11:20,0.41,0.55,5N37H08_P2
24/10/2021 11:20,0.41,0.55,5N38H16_P2
25/10/2021 13:30,NA,NA,11S26D46_O1
29/10/2021 14:35,NA,1.83,3N42D11_C1
4/11/2021 14:15,0.24,0.38,5N35D11_PS1
4/11/2021 14:15,0.24,0.38,6N19D11_PS1
6/11/2021 12:48,0.29,1.04,3N42H13_P3
8/11/2021 14:35,NA,NA,5N37H13_P1
9/11/2021 14:34,1.38,0.75,2S36H16_P2
20/11/2021 14:00,NA,NA,3N43H13_P4
23/11/2021 14:15,NA,0.88,2S36H16_CL1
29/11/2021 14:15,NA,NA,2S35D47_C1
30/11/2021 14:15,NA,10.6,5N37H13_CL1
4/12/2021 12:45,NA,0.08,11S26D46_O2
6/12/2021 14:55,NA,1.32,2S35D47_C2
6/12/2021 14:55,NA,1.32,2S37P08_P2
12/12/2021 14:50,3.38,7.14,1S38H16_CL1
13/12/2021 15:05,1.6,0.93,2S37P08_P2
19/12/2021 15:05,NA,NA,6N19D11_C1
22/12/2021 15:00,NA,NA,7N23H15_P1
1/01/2022 15:10,NA,NA,3N43P08_P1
6/01/2022 13:58,NA,NA,3N42D11_CL1
17/01/2022 13:45,0.83,0.75,6N19D11_C2
23/01/2022 14:48,0.2,0.24,6N20D46_O1
23/01/2022 14:48,0.2,0.24,5N34D11_FL1
24/01/2022 16:15,0.11,0.18,2S36H16_CL3
28/01/2022 13:42,4.06,1.07,1N41H16_P3
31/01/2021 14:55,0.3,0.06,5N37H08_P3
1/02/2021 14:35,2.96,2.02,2S36H16_CL2
15/02/2022 15:10,NA,NA,5N35D11_C1
15/02/2022 15:10,NA,NA,5N36D46_O1
19/02/2022 16:04,0.97,2.73,2N39D11_C1
28/02/2022 13:00,NA,NA,5N36D46_O2
28/02/2022 13:00,NA,NA,5N35D11_C1
5/03/2022 14:07,1.42,NA,2N41H13_P1
6/03/2022 14:13,NA,NA,5N38P08_P1
13/03/2022 14:00,NA,NA,4S33D45_PA3
13/03/2022 14:00,NA,NA,4S33D132_PA3
18/03/2022 14:00,NA,NA,4S33D45_PA4
19/03/2022 11:15,21.86,46.01,1S39H16_P1
22/03/2022 14:00,NA,NA,7N23H15_P2
22/03/2022 14:00,NA,NA,7N23H15_P3
22/03/2022 14:00,NA,NA,7N22D01_PA1
2/04/2022 14:06,10,NA,2S36H15_O1
2/04/2022 14:06,10,NA,1N39D13_PS2
6/04/2022 14:41,4.93,NA,1S37D13_PA1
8/04/2022 14:15,3.53,NA,1N39D13_C1
11/04/2022 14:00,0.49,NA,2N38D11_FL10
14/04/2022 14:00,0.07,NA,7N22D01_PA2
18/04/2022 14:00,0.48,NA,6N23Q01_P1
18/04/2022 14:00,0.48,NA,5N38H08_P1
19/04/2022 14:00,2.48,NA,2S34D13_PA2
25/04/2022 14:00,3.25,NA,1N41H15_P2
30/04/2022 14:00,0.19,NA,6N22H15_P1
30/04/2022 14:00,0.19,NA,7N22D01_PA3
1/05/2022 14:00,NA,NA,4S33D13_PA2
7/05/2022 13:22,5.03,NA,1S39H16_P2
16/05/2022 14:00,3.63,NA,1N43P08_P1
24/05/2022 14:00,NA,NA,5N36D46_O3
24/05/2022 14:00,NA,NA,3N42H13_T2
